id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
340,让-皮埃尔·热内,8.7,天使爱美丽,"奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔·梅林",2001,"剧情,喜剧,爱情","法国,德国","法语,俄语",2001-04-25,122,1026049,"50.0%,36.7%,11.8%,1.2%,0.3%"
341,夏洛特·威尔斯,8.2,晒后假日,"保罗·麦斯卡,弗兰基·科里奥,西莉亚·罗森-豪尔,萨莉·梅瑟姆,艾斯·帕拉克",2022,剧情,"英国,美国",英语,2022-05-21,101,138069,"33.4%,46.7%,17.5%,1.9%,0.4%"
342,"宁浩,徐峥,陈思诚,闫非,彭大魔,邓超,俞白眉",7.0,我和我的家乡,"葛优,黄渤,范伟,邓超,沈腾",2020,"剧情,喜剧",中国大陆,汉语普通话,2020-10-01,153,717636,"12.1%,37.6%,39.2%,9.0%,2.2%"
343,冯小刚,7.7,芳华,"黄轩,苗苗,钟楚曦,杨采钰,李晓峰",2017,"剧情,历史,战争",中国大陆,汉语普通话,2017-12-15,136,869216,"21.6%,45.6%,27.9%,3.9%,1.0%"
344,朱塞佩·托纳多雷,9.2,天堂电影院,"菲利普·努瓦雷,萨瓦特利·卡西欧,雅克·贝汉,马克·莱昂纳蒂,莱奥波多·特里耶斯泰",1988,"剧情,爱情","意大利,法国",意大利语,2021-06-11,173,745006,"65.9%,28.0%,5.5%,0.4%,0.2%"
345,乔斯·韦登,7.5,复仇者联盟2：奥创纪元,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯,马克·鲁法洛,斯嘉丽·约翰逊",2015,"动作,科幻,奇幻,冒险",美国,"英语,韩语",2015-05-12,142,540563,"20.4%,42.0%,32.7%,4.1%,0.9%"
346,帕维乌·帕夫利科夫斯基,7.7,故土,"桑德拉·惠勒,汉斯·齐施勒,奥古斯特·迪赫,大卫·史崔梭德,安娜·梅德利",2026,"剧情,传记","波兰,德国,意大利,法国",德语,2026-05-14,82,2528,"18.3%,51.3%,26.7%,3.3%,0.3%"
347,达米恩·查泽雷,8.6,爆裂鼓手,"迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟,梅莉莎·班诺伊,奥斯汀·斯托维尔",2014,"剧情,音乐",美国,英语,2024-12-06,107,698990,"46.8%,40.2%,11.3%,1.2%,0.5%"
348,刘循子墨,7.4,扬名立万,"尹正,邓家佳,喻恩泰,杨皓宇,陈明昊",2021,"剧情,喜剧,悬疑",中国大陆,汉语普通话,2021-11-11,123,864169,"13.6%,48.5%,31.6%,5.2%,1.1%"
349,尚敬,9.6,武林外传,"闫妮,姚晨,沙溢,喻恩泰,姜超",2006,"喜剧,武侠,古装",中国大陆,"汉语普通话,英语,粤语,上海话,陕西话,南京话",2006-01-02,92,669482,"83.9%,13.4%,2.2%,0.2%,0.2%"
350,宫崎骏,7.5,你想活出怎样的人生,"山时聪真,菅田将晖,柴崎幸,爱缪,木村佳乃",2023,"动画,奇幻,冒险",日本,日语,2024-04-03,124,454452,"21.2%,41.7%,31.0%,4.9%,1.2%"
351,尹丽川 ,8.8,出走的决心,"咏梅,姜武,吴倩,张本煜,马苏",2024,"剧情,家庭",中国大陆,"汉语普通话,河南方言,四川方言",2024-09-15,106,434851,"53.3%,36.0%,9.3%,1.0%,0.4%"
352,土井裕泰,8.3,垫底辣妹,"有村架纯,伊藤淳史,吉田羊,田中哲司,野村周平",2015,"剧情,家庭",日本,日语,2016-04-14,117,527480,"37.0%,45.3%,16.2%,1.3%,0.3%"
353,"露西亚·安尼洛,保罗·当斯",9.2,绝望写手 第四季,"珍·斯玛特,汉娜·爱宾德,保罗·当斯,梅根·斯塔尔特,卡尔·克莱蒙斯-霍普金斯",2025,"剧情,喜剧",美国,"英语,汉语普通话",2025-04-10,94,26252,"65.4%,27.8%,6.1%,0.5%,0.2%"
354,西德尼·吕美特,9.4,十二怒汉,"亨利·方达,马丁·鲍尔萨姆,约翰·菲德勒,李·科布,E.G.马绍尔",1957,剧情,美国,英语,1957-04-10,96,582894,"76.1%,20.6%,3.0%,0.2%,0.1%"
